Season,TeamID,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RetAtt,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Dbl Dbl
2020-2021,,Uiw,Southland,1,Chase Jackson,Sr,OH,6-1,14,7.0,52,117,56,329,0.185,6.0,2.0,3.0,29.0,,,3.0,16.0,5.0,130.0,,,
2020-2021,,Uiw,Southland,10,Jacqueline Arrington,Fr,OH,6-0,14,14.0,55,94,32,261,0.238,,,,12.0,,,5.0,37.0,2.0,117.5,,,
2020-2021,,Uiw,Southland,24,Macy Sumrall,So,DS,5-4,12,2.0,44,6,2,20,0.2,34.0,10.0,7.0,95.0,,5.0,,,,16.0,,,
2020-2021,,Uiw,Southland,32,Maddi Brown,So,L/DS,5-5,5,,5,0,1,4,-0.25,20.0,1.0,1.0,7.0,,,,,,1.0,,,
2020-2021,,Uiw,Southland,11,Mariela Nieto,Fr,L,5-4,12,2.0,40,0,0,3,0.0,9.0,6.0,9.0,62.0,,12.0,,,,6.0,1.0,,
2020-2021,,Uiw,Southland,18,Nailah Landon,So,MB,6-0,11,5.0,35,52,18,127,0.268,1.0,,4.0,20.0,,,3.0,28.0,2.0,69.0,,,
2020-2021,,Uiw,Southland,15,Natalie Martin,So,S,5-8,11,9.0,40,3,1,44,0.045,304.0,8.0,7.0,86.0,,,,8.0,,15.0,5.0,,
2020-2021,,Uiw,Southland,3,Pilar Gonzaba,Jr,S,5-8,9,4.0,32,9,3,37,0.162,223.0,9.0,13.0,55.0,,,1.0,6.0,,22.0,14.0,,
2020-2021,,Uiw,Southland,4,Taylor Henderson,Jr,MB,6-0,6,5.0,19,40,7,83,0.398,,1.0,4.0,11.0,,,1.0,14.0,1.0,49.0,,,
2020-2021,,Uiw,Southland,12,Zoe Menendez,Fr,RS,5-10,9,,9,10,4,31,0.194,,,,7.0,,,1.0,3.0,,12.5,1.0,,
2020-2021,,Ulm,Sun Belt,16,Alix Christie,Sr,MB,6-2,16,13.0,43,47,25,137,0.161,1.0,,,3.0,,1.0,12.0,20.0,4.0,69.0,1.0,,
2020-2021,,Ulm,Sun Belt,17,Cali Assaley,Jr,OH,6-0,19,15.0,54,116,98,400,0.045,1.0,7.0,19.0,100.0,,18.0,5.0,8.0,,132.0,1.0,,
2020-2021,,Ulm,Sun Belt,13,Catherine Griffith,Sr,MB,6-3,19,19.0,58,78,29,242,0.202,4.0,3.0,6.0,23.0,,,5.0,27.0,2.0,99.5,1.0,,
2020-2021,,Ulm,Sun Belt,5,Chloe Jordan,Fr,L/DS,5-6,19,3.0,44,0,1,13,-0.077,12.0,2.0,9.0,86.0,,5.0,,,,2.0,1.0,,
2020-2021,,Ulm,Sun Belt,4,Darby Fisher,So,S,5-11,14,,14,1,0,5,0.2,28.0,,2.0,13.0,,,,,,1.0,12.0,,
2020-2021,,Ulm,Sun Belt,8,Emma Mcwhorter,Fr,MB,5-10,18,3.0,44,18,20,75,-0.027,4.0,6.0,14.0,25.0,,5.0,2.0,7.0,4.0,29.5,,,
2020-2021,,Ulm,Sun Belt,2,Hailey Hughes,So,MB,6-0,12,5.0,21,16,4,38,0.316,1.0,1.0,2.0,4.0,,,,11.0,,22.5,1.0,,
2020-2021,,Ulm,Sun Belt,1,Haley Coulter,Sr,OH,6-1,22,21.0,68,161,105,637,0.088,8.0,19.0,24.0,252.0,,13.0,8.0,10.0,1.0,193.0,2.0,,
2020-2021,,Ulm,Sun Belt,18,Ina Gosen,Sr,OH,6-0,21,18.0,69,144,102,612,0.069,4.0,8.0,18.0,151.0,,10.0,1.0,22.0,,164.0,1.0,,
2020-2021,,Ulm,Sun Belt,6,Karson Davis,Fr,DS,5-9,22,10.0,65,10,7,79,0.038,313.0,3.0,12.0,106.0,,,,7.0,,16.5,4.0,,
2020-2021,,Ulm,Sun Belt,14,Kathryn Raschilla,So,RS,6-3,22,10.0,62,75,43,272,0.118,,1.0,1.0,11.0,,,6.0,15.0,,89.5,1.0,,
2020-2021,,Ulm,Sun Belt,11,Lauren Appelman,Sr,OH,6-0,15,2.0,31,19,19,89,0.0,,1.0,4.0,12.0,,1.0,,4.0,1.0,22.0,,,
2020-2021,,Ulm,Sun Belt,7,Madeline Hogan,So,OH,5-11,75,,75,0,7,56,-0.125,33.0,12.0,13.0,324.0,,17.0,,,,12.0,5.0,,
2020-2021,,Ulm,Sun Belt,9,Mckinley Thiede,Jr,S,5-9,18,13.0,57,7,6,50,0.02,281.0,8.0,24.0,79.0,,,,2.0,,16.0,16.0,,
2020-2021,,Ulm,Sun Belt,10,Shaska Davis,So,OH,5-9,20,7.0,40,59,30,195,0.149,4.0,,3.0,16.0,,12.0,1.0,6.0,1.0,63.0,1.0,,
2020-2021,,Umbc,America East,12,Anouk Van Noord,Sr,RS,6-2,14,3.0,51,182,59,449,0.274,4.0,,3.0,31.0,,4.0,6.0,17.0,1.0,196.5,,,
2020-2021,,Umbc,America East,7,Aysia Miller,Fr,S,5-10,15,15.0,57,31,22,133,0.068,607.0,12.0,13.0,145.0,,,,9.0,1.0,47.5,11.0,,
2020-2021,,Umbc,America East,9,Beste Ayhan,Fr,MB,6-4,13,13.0,50,66,16,148,0.338,2.0,6.0,10.0,8.0,,1.0,8.0,44.0,7.0,102.0,1.0,,
2020-2021,,Umbc,America East,2,Darina Kumanova,Fr,OH,6-0,15,15.0,57,181,94,542,0.161,9.0,12.0,18.0,175.0,,19.0,3.0,11.0,1.0,201.5,4.0,,
2020-2021,,Umbc,America East,17,Emily Ferketic,So,RS,6-2,15,13.0,54,105,56,326,0.15,3.0,11.0,14.0,66.0,,1.0,1.0,40.0,1.0,137.0,,,
2020-2021,,Umbc,America East,14,Kamani Conteh,So,OH,5-10,4,2.0,13,29,9,60,0.333,,,,1.0,,1.0,,8.0,1.0,33.0,,,
2020-2021,,Umbc,America East,6,Kayla Tomas,So,DS,5-7,14,7.0,49,2,0,4,0.5,3.0,1.0,5.0,103.0,,16.0,,,,3.0,,,
2020-2021,,Umbc,America East,1,Loren Teter,Sr,DS,5-6,57,,57,0,0,12,0.0,49.0,17.0,15.0,248.0,,16.0,,,,17.0,,,
2020-2021,,Umbc,America East,3,Michela De Marzi,Fr,MB,6-0,15,15.0,57,123,28,268,0.354,8.0,6.0,15.0,42.0,,,3.0,29.0,2.0,146.5,1.0,,
2020-2021,,Umbc,America East,10,Paige Krenik,Jr,OH,5-11,6,5.0,22,30,17,100,0.13,4.0,,6.0,59.0,,5.0,,5.0,,32.5,,,
2020-2021,,Umbc,America East,11,Weronika Wrzesinska,Fr,OH,6-0,4,2.0,12,1,3,10,-0.2,1.0,,,21.0,,,,,,1.0,1.0,,
2020-2021,,Unc Asheville,Big South,2,Anna Skryd,Jr,L,5-4,15,3.0,52,1,1,11,0.0,13.0,11.0,16.0,87.0,,9.0,,,,12.0,1.0,,
2020-2021,,Unc Asheville,Big South,14,Camilly Cristiny,Jr,OH,5-9,4,3.0,12,13,8,59,0.085,6.0,,2.0,19.0,,7.0,,2.0,1.0,14.0,,,
2020-2021,,Unc Asheville,Big South,4,Cecilia Stack,Sr,MB,6-1,16,16.0,59,53,40,190,0.068,4.0,6.0,8.0,25.0,,1.0,3.0,37.0,2.0,80.5,,,
2020-2021,,Unc Asheville,Big South,19,Grace Squires,So,DS,5-6,1,,1,0,0,0,,,,,,,1.0,,,,,,,
2020-2021,,Unc Asheville,Big South,17,Grace Volk,Jr,S,5-9,16,16.0,59,35,4,118,0.263,493.0,13.0,3.0,160.0,,,5.0,24.0,,65.0,8.0,,
2020-2021,,Unc Asheville,Big South,13,Hannah Spicer,Jr,OH,5-11,16,15.0,54,74,32,267,0.157,4.0,5.0,2.0,24.0,,4.0,,25.0,2.0,91.5,1.0,,
2020-2021,,Unc Asheville,Big South,3,Harley Middleton,So,OH,-,6,1.0,13,9,3,36,0.167,,,,6.0,,1.0,,5.0,,11.5,,,
2020-2021,,Unc Asheville,Big South,1,Kasey Thacker,Fr,OH,5-10,11,1.0,33,0,1,6,-0.167,,7.0,10.0,9.0,,,,3.0,1.0,8.5,,,
2020-2021,,Unc Asheville,Big South,16,Kasey West,Sr,DS,5-3,47,,47,0,3,27,-0.111,37.0,15.0,16.0,194.0,,11.0,,,,15.0,,,
2020-2021,,Unc Asheville,Big South,10,Kat Cruser,Fr,OH,5-10,22,,22,24,15,76,0.118,,,,6.0,,1.0,,1.0,,24.5,,,
2020-2021,,Unc Asheville,Big South,9,Lexy Cole,So,MB,6-0,16,16.0,59,107,43,268,0.239,2.0,,,9.0,,1.0,6.0,45.0,15.0,135.5,,,
2020-2021,,Unc Asheville,Big South,12,Malina Harris,Fr,S,5-8,1,,1,0,0,0,,,,,,,,,,,,,,
2020-2021,,Unc Asheville,Big South,11,Molly Hackett,Jr,OH,-,12,9.0,47,130,68,361,0.172,7.0,1.0,3.0,76.0,,10.0,1.0,20.0,2.0,142.0,,,
2020-2021,,Unc Asheville,Big South,7,Ona Elkins,Fr,S,5-8,58,,58,3,2,13,0.077,19.0,11.0,11.0,116.0,,,,,2.0,14.0,1.0,,
2020-2021,,Unc Asheville,Big South,8,Peyton Mcclinton,Jr,OH,5-9,16,16.0,59,201,78,595,0.207,9.0,11.0,21.0,120.0,,10.0,3.0,24.0,,227.0,1.0,,
2020-2021,,Unc Greensboro,Socon,13,Beaudine Verweij,Jr,MB,6-4,3,1.0,6,2,3,13,-0.077,,,,,,,,2.0,2.0,3.0,,,
2020-2021,,Unc Greensboro,Socon,15,Brittany Wood,So,OH,5-9,17,13.0,62,103,68,321,0.109,1.0,,,25.0,,1.0,2.0,13.0,7.0,111.5,,,
2020-2021,,Unc Greensboro,Socon,18,Elayne Grisbee,So,MH,6-3,4,1.0,8,6,7,23,-0.043,,,1.0,5.0,,,,2.0,,7.0,,,
2020-2021,,Unc Greensboro,Socon,9,Gabriela Mchugh,So,S,6-0,10,10.0,42,35,11,84,0.286,354.0,7.0,4.0,107.0,,,,23.0,1.0,53.5,11.0,,
2020-2021,,Unc Greensboro,Socon,8,Grey Breen,So,MH,6-1,17,17.0,64,94,30,261,0.245,3.0,11.0,9.0,20.0,,,5.0,31.0,4.0,125.5,,,
2020-2021,,Unc Greensboro,Socon,4,Hannah Knier,So,OH,6-2,17,16.0,66,113,45,330,0.206,,4.0,7.0,30.0,,,7.0,37.0,,142.5,,,
2020-2021,,Unc Greensboro,Socon,11,Haven Mcpeek,Fr,S,6-0,9,7.0,26,10,4,40,0.15,194.0,,15.0,40.0,,,,5.0,,12.5,13.0,,
2020-2021,,Unc Greensboro,Socon,0,Jenna Wiggs,Jr,DS,5-5,17,3.0,65,0,2,3,-0.667,41.0,15.0,14.0,222.0,,26.0,,,,15.0,,,
2020-2021,,Unc Greensboro,Socon,7,Karolina Zubkova,So,OH,6-1,16,1.0,53,80,69,358,0.031,,,,28.0,,7.0,1.0,17.0,3.0,89.5,1.0,,
2020-2021,,Unc Greensboro,Socon,12,Mandy Garvens,Jr,DS,5-7,17,11.0,66,36,38,185,-0.011,15.0,13.0,16.0,197.0,,13.0,,,,49.0,,,
2020-2021,,Unc Greensboro,Socon,1,Maria Esch,Sr,OH,6-0,17,17.0,66,220,105,736,0.156,18.0,10.0,7.0,199.0,,32.0,3.0,16.0,2.0,241.0,,,
2020-2021,,Unc Greensboro,Socon,6,Stephanie Meysembourg,Jr,DS,5-8,17,4.0,66,1,0,3,0.333,19.0,17.0,24.0,134.0,,23.0,,,,18.0,,,
2020-2021,,Unc Greensboro,Socon,10,Valeria Calderon,Fr,DS,5-6,10,1.0,21,0,0,1,0.0,1.0,1.0,6.0,5.0,,,,,,1.0,,,
2020-2021,,Uncw,Caa,16,Alyssa Stone,So,OH,6-1,1,,1,0,0,0,,,,,,,,,,,,,,
2020-2021,,Uncw,Caa,2,Anna Weissmann,Sr,L,5-6,16,,16,0,0,1,0.0,,,,29.0,,4.0,,,,,,,
2020-2021,,Uncw,Caa,5,Annabelle Schall,Fr,S,6-0,11,4.0,48,10,9,48,0.021,192.0,13.0,19.0,71.0,,,,3.0,3.0,24.5,7.0,,
2020-2021,,Uncw,Caa,6,Ashley Thompson,So,OH,5-9,6,1.0,24,8,5,27,0.111,,1.0,10.0,30.0,,5.0,,,,9.0,,,
2020-2021,,Uncw,Caa,4,Brianna Haggerty,Fr,OH,5-10,11,4.0,36,47,34,173,0.075,7.0,6.0,7.0,77.0,,11.0,,3.0,1.0,54.5,,,
2020-2021,,Uncw,Caa,9,Brooke Hanshumaker,So,MB,6-0,12,12.0,54,93,39,258,0.209,5.0,,4.0,27.0,,,4.0,28.0,1.0,111.0,,,
2020-2021,,Uncw,Caa,8,Brynn Montgomery,Sr,S,6-0,12,12.0,54,112,31,333,0.243,316.0,22.0,25.0,147.0,,1.0,5.0,17.0,1.0,147.5,6.0,4.0,
2020-2021,,Uncw,Caa,15,Holly Cornelius,Fr,L,5-6,23,,23,1,0,1,1.0,3.0,6.0,1.0,14.0,,,,,,7.0,,,
2020-2021,,Uncw,Caa,20,Jadyn Barry,Fr,L,5-4,47,,47,1,1,5,0.0,28.0,9.0,16.0,112.0,,13.0,,,,10.0,,,
2020-2021,,Uncw,Caa,10,Jazzell Mangosing,Sr,L,5-2,43,,43,1,1,5,0.0,25.0,3.0,11.0,137.0,,9.0,,,,4.0,,,
2020-2021,,Uncw,Caa,13,Katie Lanz,So,S,5-8,12,11.0,54,140,77,414,0.152,20.0,3.0,14.0,72.0,,5.0,,21.0,,153.5,,,
2020-2021,,Uncw,Caa,3,Kirsten Badowski,So,OH,6-1,5,5.0,22,71,26,165,0.273,,6.0,7.0,26.0,,8.0,,5.0,1.0,79.5,,,
2020-2021,,Uncw,Caa,17,Kyla Augustine,Sr,OH,6-0,12,11.0,51,126,56,390,0.179,8.0,6.0,6.0,72.0,,7.0,4.0,20.0,5.0,146.0,,,
2020-2021,,Uncw,Caa,1,Madison Spencer,Sr,MB,6-0,10,9.0,39,24,10,78,0.179,3.0,,,4.0,,,6.0,30.0,3.0,45.0,,,
2020-2021,,Uncw,Caa,14,Rebecca Nuanez,Jr,MB,6-1,2,,2,0,0,0,,,,1.0,,,,,,,,,,
2020-2021,,Uncw,Caa,19,Sarah Knafelz,Fr,MB,6-1,7,3.0,21,19,11,50,0.16,,,,2.0,,,1.0,11.0,,25.5,,,
2020-2021,,Uni,Mvc,5,Ava Vitale,So,S,5-7,1,,1,0,0,0,,,,,,,,,,,,,,
2020-2021,,Uni,Mvc,8,Baylee Petersen,Jr,L/DS,5-8,90,,90,5,0,22,0.227,60.0,25.0,18.0,335.0,,20.0,,,,30.0,1.0,,
2020-2021,,Uni,Mvc,15,Carly Spies,Jr,MB,6-3,22,21.0,84,148,59,388,0.229,7.0,2.0,8.0,43.0,,1.0,8.0,75.0,2.0,195.5,1.0,,
2020-2021,,Uni,Mvc,10,Emily Holterhaus,So,MB,6-2,22,22.0,90,288,143,925,0.157,32.0,20.0,20.0,256.0,,32.0,10.0,43.0,4.0,339.5,2.0,,
2020-2021,,Uni,Mvc,13,Inga Rotto,Jr,MB,6-1,22,22.0,90,184,68,416,0.279,8.0,2.0,2.0,36.0,,,4.0,62.0,,221.0,2.0,,
2020-2021,,Uni,Mvc,1,Kaylee Donner,So,L/DS,5-4,22,1.0,88,2,0,5,0.4,39.0,26.0,31.0,197.0,,24.0,,,,28.0,,,
2020-2021,,Uni,Mvc,17,Kaylissa Arndorfer,So,OPP,6-1,22,22.0,86,192,102,522,0.172,9.0,29.0,52.0,58.0,,2.0,3.0,72.0,7.0,260.0,,,
2020-2021,,Uni,Mvc,3,Maizy Jackson,So,OH,6-1,1,,1,0,1,1,-1.0,,,,,,,,,,,,,
2020-2021,,Uni,Mvc,11,Megan Witte,Fr,OH,5-11,27,,27,54,30,192,0.125,1.0,,1.0,10.0,,4.0,2.0,6.0,,59.0,1.0,,
2020-2021,,Uni,Mvc,4,Olivia Tjernagel,Fr,MH,6-0,18,,18,20,12,53,0.151,1.0,1.0,1.0,3.0,,,2.0,14.0,,30.0,,,
2020-2021,,Uni,Mvc,19,Payton Ahrenstorff,So,L/DS,5-6,32,,32,1,0,2,0.5,6.0,2.0,4.0,20.0,,12.0,,,,3.0,,,
2020-2021,,Uni,Mvc,14,Sarah Konovodoff,Fr,L/DS,5-7,22,21.0,90,2,1,9,0.111,41.0,15.0,21.0,186.0,,24.0,,,,17.0,,,
2020-2021,,Uni,Mvc,6,Tayler Alden,Fr,S,6-0,22,22.0,90,120,47,326,0.224,847.0,28.0,30.0,214.0,,,2.0,31.0,3.0,165.5,24.0,1.0,
2020-2021,,Uni,Mvc,21,Yagmur Cinel,Fr,OH,6-0,20,1.0,74,143,91,435,0.12,6.0,1.0,2.0,30.0,,5.0,6.0,14.0,4.0,157.0,,,
2020-2021,,Unlv,Mountain West,2,Alison French,Sr,OH,6-0,13,8.0,45,65,25,175,0.229,3.0,,,16.0,,,,16.0,5.0,73.0,,,
2020-2021,,Unlv,Mountain West,10,Arien Fafard,Fr,S,5-7,14,10.0,49,23,4,59,0.322,287.0,14.0,14.0,91.0,,,,,2.0,37.0,1.0,,
2020-2021,,Unlv,Mountain West,9,Cassidy Nelson,Jr,OH,6-0,1,,1,0,0,2,0.0,,,,,,,,,,,,,
2020-2021,,Unlv,Mountain West,5,Erin Davis,Sr,RS,5-11,13,5.0,41,67,24,162,0.265,,,,6.0,,,,14.0,3.0,74.0,1.0,,
2020-2021,,Unlv,Mountain West,20,Gabriella Rawson,Fr,L/DS,5-5,2,,2,0,0,0,,,,,,,,,,,,,,
2020-2021,,Unlv,Mountain West,18,Gabrielle Arretche-Ramos,Fr,OH,6-2,1,1.0,3,2,1,5,0.2,1.0,,,2.0,,,,2.0,,3.0,,,
2020-2021,,Unlv,Mountain West,12,Jillian Berg,Sr,OH,5-10,17,,17,3,0,4,0.75,1.0,2.0,5.0,4.0,,,,,,5.0,,,
2020-2021,,Unlv,Mountain West,11,Jordyn Freeman,So,MB,6-2,9,,9,8,1,14,0.5,,,1.0,,,,,,,8.0,,,
2020-2021,,Unlv,Mountain West,3,Kate Brennan,Jr,MB,6-2,14,14.0,49,85,21,181,0.354,3.0,6.0,12.0,14.0,,1.0,4.0,38.0,9.0,114.0,,,
2020-2021,,Unlv,Mountain West,13,Lauryn Burt,Jr,S,5-8,14,4.0,49,13,2,44,0.25,262.0,14.0,10.0,68.0,,,,,,27.0,5.0,,
2020-2021,,Unlv,Mountain West,8,Macy Smith,Sr,MB,6-0,14,14.0,49,76,16,163,0.368,2.0,,,10.0,,,10.0,40.0,3.0,106.0,,,
2020-2021,,Unlv,Mountain West,7,Mariena Hayden,Sr,OH,6-0,14,14.0,49,210,51,460,0.346,11.0,42.0,51.0,146.0,,8.0,3.0,22.0,2.0,266.0,,1.0,
2020-2021,,Unlv,Mountain West,1,Paola Garcia,So,L/DS,5-7,6,,6,0,0,0,,,,1.0,1.0,,,,,,,,,
2020-2021,,Unlv,Mountain West,16,Paris Oliveira,So,L/DS,5-6,49,,49,0,0,10,0.0,42.0,4.0,14.0,170.0,,12.0,,,,4.0,,,
2020-2021,,Unlv,Mountain West,14,Shelby Capllonch,So,OH,5-8,14,14.0,49,110,46,300,0.213,12.0,12.0,15.0,177.0,,6.0,1.0,20.0,6.0,133.0,,,
2020-2021,,Unlv,Mountain West,6,Thea Sweder,Sr,OH,5-10,20,,20,28,10,61,0.295,1.0,,,4.0,,,1.0,4.0,,31.0,1.0,,
2020-2021,,Usc Upstate,Big South,12,Alexis Mareko,Jr,MB,5-10,14,14.0,46,83,29,193,0.28,5.0,13.0,23.0,27.0,,,4.0,51.0,4.0,125.5,,,
2020-2021,,Usc Upstate,Big South,8,Breeana Gamueda,Jr,OH,5-9,13,12.0,42,90,49,357,0.115,4.0,6.0,6.0,122.0,,16.0,1.0,20.0,2.0,107.0,,,
2020-2021,,Usc Upstate,Big South,20,Briana Strobert,So,RS,5-11,14,14.0,46,91,39,265,0.196,1.0,,,24.0,,,2.0,36.0,7.0,111.0,,,
2020-2021,,Usc Upstate,Big South,7,Bruna Avila,Jr,S,5-10,13,11.0,39,16,3,40,0.325,309.0,5.0,5.0,83.0,,,,6.0,,24.0,1.0,,
2020-2021,,Usc Upstate,Big South,6,Courtney Coffy,So,RS,6-1,12,,12,8,14,36,-0.167,,,,3.0,,,,5.0,,10.5,,,
2020-2021,,Usc Upstate,Big South,18,Emma Mcelveen,Fr,S,5-9,7,3.0,22,10,2,18,0.444,75.0,3.0,2.0,25.0,,,,,,13.0,,,
2020-2021,,Usc Upstate,Big South,5,Hannah Regan,Fr,S,5-11,7,,7,1,0,4,0.25,22.0,1.0,4.0,8.0,,,,,,2.0,,,
2020-2021,,Usc Upstate,Big South,4,Kelly Wiedemann,Jr,OH,5-10,14,14.0,45,97,57,375,0.107,3.0,19.0,7.0,107.0,,15.0,,9.0,1.0,120.5,,,
2020-2021,,Usc Upstate,Big South,2,Mackenzie Marcum,Jr,L/DS,5-6,14,1.0,46,1,1,16,0.0,26.0,10.0,12.0,170.0,,6.0,,,,11.0,,,
2020-2021,,Usc Upstate,Big South,15,Makila Billingsley,Fr,OH,5-11,1,,1,0,0,0,,,,,,,,,,,,,,
2020-2021,,Usc Upstate,Big South,13,Nikki Deslatte,Fr,MB,6-1,14,13.0,43,90,29,216,0.282,,,,13.0,,,1.0,29.0,5.0,105.5,,,
2020-2021,,Usc Upstate,Big South,11,Rachael Stroot,Fr,OH,6-0,8,,8,6,5,37,0.027,,,,5.0,,,,6.0,2.0,9.0,,,
2020-2021,,Usc Upstate,Big South,10,Renae Watson,Jr,MB,6-1,4,1.0,6,6,6,23,0.0,1.0,,,1.0,,,,6.0,,9.0,,,
2020-2021,,Usc Upstate,Big South,3,Scout Hoffmeier,So,L/DS,5-7,42,,42,2,1,13,0.077,15.0,14.0,11.0,106.0,,14.0,,,,16.0,,,
2020-2021,,Usc Upstate,Big South,19,Zelasia Edwards,Fr,OH,5-10,6,1.0,12,10,16,74,-0.081,1.0,2.0,6.0,28.0,,8.0,,4.0,,14.0,1.0,,
2020-2021,,Ut Arlington,Sun Belt,7,Alli Wells,So,L/DS,5-7,89,,89,3,0,32,0.094,97.0,23.0,8.0,526.0,,18.0,,,,26.0,2.0,,
2020-2021,,Ut Arlington,Sun Belt,3,Alyssa Duran,Fr,L/DS,5-6,23,2.0,88,1,2,15,-0.067,13.0,21.0,17.0,202.0,,17.0,,,,22.0,,,
2020-2021,,Ut Arlington,Sun Belt,10,Briana Brown,Fr,OH,5-9,23,17.0,81,210,82,611,0.209,6.0,,2.0,59.0,,5.0,18.0,18.0,2.0,237.0,,,
2020-2021,,Ut Arlington,Sun Belt,14,Brianna Ford,Fr,OH,6-0,21,16.0,77,232,119,721,0.157,14.0,13.0,23.0,173.0,,18.0,7.0,33.0,5.0,268.5,2.0,,
2020-2021,,Ut Arlington,Sun Belt,12,Brooke Townsend,Jr,OH,6-0,22,20.0,83,249,87,737,0.22,17.0,8.0,11.0,174.0,,18.0,8.0,18.0,8.0,274.0,5.0,,
2020-2021,,Ut Arlington,Sun Belt,4,Devon Martinka,So,OH,6-2,22,9.0,73,107,55,368,0.141,1.0,,,27.0,,,4.0,40.0,1.0,131.0,1.0,,
2020-2021,,Ut Arlington,Sun Belt,18,Gabby White,So,OH,6-2,2,,2,1,0,1,1.0,,,,,,,,,,1.0,,,
2020-2021,,Ut Arlington,Sun Belt,21,Hannah Boyd,So,OH,6-2,7,1.0,20,29,17,127,0.094,1.0,,,6.0,,1.0,,6.0,,32.0,1.0,,
2020-2021,,Ut Arlington,Sun Belt,9,Jessica Stancliff,So,S,6-0,16,,16,0,0,1,0.0,39.0,1.0,3.0,13.0,,,,,,1.0,4.0,,
2020-2021,,Ut Arlington,Sun Belt,15,Kortney Puckett,Fr,MB,6-0,14,11.0,45,64,24,165,0.242,3.0,1.0,1.0,17.0,,,6.0,33.0,1.0,87.5,,,
2020-2021,,Ut Arlington,Sun Belt,11,Kylee Kapp,Jr,S,5-5,22,13.0,78,7,2,35,0.143,362.0,16.0,14.0,151.0,,,,,,23.0,20.0,,
2020-2021,,Ut Arlington,Sun Belt,13,Meredith Fisher,So,OH,6-2,7,4.0,19,31,16,114,0.132,,,1.0,7.0,,,2.0,4.0,1.0,35.0,,,
2020-2021,,Ut Arlington,Sun Belt,8,Michaela Wright,Jr,MB,6-6,18,18.0,68,82,26,246,0.228,1.0,3.0,9.0,36.0,,,14.0,48.0,5.0,123.0,1.0,,
2020-2021,,Ut Arlington,Sun Belt,2,Mollie Blank,Fr,S,5-10,23,10.0,86,20,4,90,0.178,502.0,28.0,8.0,188.0,,,,4.0,1.0,50.0,15.0,,
2020-2021,,Ut Arlington,Sun Belt,6,Simara Peyton,Fr,MB,6-0,20,17.0,68,115,24,272,0.335,3.0,3.0,11.0,32.0,,2.0,8.0,40.0,4.0,146.0,2.0,,
2020-2021,,Ut Martin,Ovc,14,Addison Conley,Jr,OPP,5-10,10,8.0,31,78,48,223,0.135,4.0,,3.0,36.0,,5.0,1.0,6.0,3.0,82.0,,,
2020-2021,,Ut Martin,Ovc,22,Addy Vaughn,Fr,S,6-0,13,5.0,37,45,21,150,0.16,36.0,5.0,6.0,50.0,,1.0,1.0,7.0,3.0,54.5,2.0,,
2020-2021,,Ut Martin,Ovc,2,Baillie Kearns,Fr,L/DS,5-3,16,4.0,57,0,1,4,-0.25,43.0,9.0,12.0,143.0,,28.0,,,,9.0,,,
2020-2021,,Ut Martin,Ovc,1,Dylan Mott,Fr,OH,5-8,16,2.0,57,0,0,9,0.0,31.0,9.0,8.0,218.0,,8.0,,,,9.0,,,
2020-2021,,Ut Martin,Ovc,10,Haeleigh Paulino,So,S,5-7,8,2.0,21,1,1,11,0.0,52.0,1.0,5.0,26.0,,,,,,2.0,2.0,,
2020-2021,,Ut Martin,Ovc,12,Jessica Reynolds,Jr,OPP,6-1,15,4.0,40,108,57,305,0.167,1.0,,2.0,12.0,,4.0,2.0,8.0,1.0,114.0,,,
2020-2021,,Ut Martin,Ovc,11,Kambree Lucas,Fr,OH,5-11,2,1.0,3,0,0,1,0.0,,,,,,,,,,,,,
2020-2021,,Ut Martin,Ovc,8,Karen Scanlon,Jr,MB,6-0,16,16.0,57,158,53,431,0.244,11.0,12.0,9.0,148.0,,3.0,2.0,23.0,8.0,183.5,,,
2020-2021,,Ut Martin,Ovc,7,Kayla Carrell,Jr,DS,5-6,16,5.0,55,1,0,6,0.167,15.0,3.0,12.0,106.0,,11.0,,,,4.0,,,
2020-2021,,Ut Martin,Ovc,3,Kayla Long,Sr,L/DS,5-4,3,1.0,7,0,0,0,,,,,14.0,,2.0,,,,,,,
2020-2021,,Ut Martin,Ovc,6,Kenzie Hinshaw,Sr,S,5-9,14,14.0,48,48,15,163,0.202,468.0,8.0,7.0,105.0,,1.0,,6.0,1.0,59.0,1.0,,
2020-2021,,Ut Martin,Ovc,9,Lauren O'Neill,Fr,MB,6-1,12,7.0,34,34,21,103,0.126,,,,7.0,,,4.0,12.0,5.0,44.0,,,
2020-2021,,Ut Martin,Ovc,4,Logan Wallick,Jr,OH,6-0,15,9.0,53,163,71,482,0.191,1.0,,,16.0,,2.0,2.0,13.0,,171.5,,,
2020-2021,,Ut Martin,Ovc,24,Lucy Kaufman,So,L/DS,5-9,9,,9,7,2,19,0.263,,,3.0,4.0,,,,,2.0,7.0,,,
2020-2021,,Ut Martin,Ovc,16,Olivia Lucia,Fr,MB,6-1,13,12.0,45,60,28,168,0.19,3.0,1.0,14.0,22.0,,2.0,6.0,21.0,3.0,77.5,1.0,,
